CALL_DATE,CALL_TIME,NUMBER_DIALED,ANI,COUNT_CALLS,MARKET,TACTIC_MEDIUM
20130705,20:38:25:000,866-948-0869,702773,1,Las Vegas,MC DRTV
20130705,20:39:21:000,800-507-6470,229254,1,,Prism DRTV
20130705,20:39:21:000,800-507-6470,229254,1,,Prism Spot TV
20130705,20:40:01:000,866-502-4589,919624,1,Raleigh-Durham (Fayetvlle),Prism FSI
20130705,20:41:09:000,866-781-0858,407802,1,Orlando-Daytona Bch-Melbrn,Prism Online
20130705,20:50:24:000,800-507-6470,229254,1,,Prism DRTV
20130705,20:50:24:000,800-507-6470,229254,1,,Prism Spot TV
20130705,20:50:34:000,800-507-6470,386935,1,Orlando-Daytona Bch-Melbrn,Prism DRTV
20130705,20:50:34:000,800-507-6470,386935,1,Orlando-Daytona Bch-Melbrn,Prism Spot TV
20130705,20:51:37:000,866-781-0858,321216,1,Orlando-Daytona Bch-Melbrn,Prism Online
20130705,20:52:43:000,855-803-9899,239331,1,Ft. Myers-Naples,Prism Online
20130705,20:58:30:000,877-282-0639,832390,1,Houston,Shared Mail
20130705,21:08:32:000,866-967-6929,407461,1,Orlando-Daytona Bch-Melbrn,Prism Email
20130705,21:10:02:000,855-803-9899,702491,1,Las Vegas,Prism Online
20130705,21:10:31:000,866-967-6929,407461,1,Orlando-Daytona Bch-Melbrn,Prism Email
20130705,21:10:55:000,866-781-0858,302588,1,,Prism Online
20130705,21:13:13:000,855-621-8918,832579,1,Houston,FSI
20130705,21:13:38:000,866-967-6929,407461,1,Orlando-Daytona Bch-Melbrn,Prism Email
20130705,21:16:52:000,866-967-6929,407461,1,Orlando-Daytona Bch-Melbrn,Prism Email
20130705,21:20:38:000,866-781-0858,407394,1,Orlando-Daytona Bch-Melbrn,Prism Online
20130705,21:24:53:000,800-507-6470,727565,1,La Crosse-Eau Claire,Prism DRTV
20130705,21:24:53:000,800-507-6470,727565,1,La Crosse-Eau Claire,Prism Spot TV
20130705,21:37:29:000,866-375-9652,252495,1,Greenville-N.Bern-Washngtn,Shared Mail
20130705,21:51:13:000,800-507-6470,850877,1,Tallahassee-Thomasville,Prism DRTV
20130705,21:51:13:000,800-507-6470,850877,1,Tallahassee-Thomasville,Prism Spot TV
20130705,21:52:03:000,800-507-6470,702503,1,Las Vegas,Prism DRTV
20130705,21:52:03:000,800-507-6470,702503,1,Las Vegas,Prism Spot TV
20130705,21:53:41:000,888-270-5389,910546,1,Raleigh-Durham (Fayetvlle),FSI
20130705,22:03:01:000,855-803-9899,702672,1,Las Vegas,Prism Online
20130705,22:10:34:000,855-803-9899,702491,1,Las Vegas,Prism Online
20130705,22:16:00:000,877-542-6039,352369,1,Orlando-Daytona Bch-Melbrn,Prism Online
20130705,22:20:37:000,877-562-0227,417255,1,"Springfield, MO",FSI
20130705,22:24:33:000,866-781-0858,702778,1,Las Vegas,Prism Online
20130705,22:38:31:000,855-301-9426,239732,1,Ft. Myers-Naples,Prism DRTV
